"","comuna","categoria","precio","tiponegocio","aniousuarioyapo","urlyapo"
"113","Región Metropolitana, Santiago","Arriendo - Pieza",NA,NA,"2020","https://www.yapo.cl/region_metropolitana/arrendar/pieza_amplio_espacio_stgo_centro_73768579.htm?ca=15_s&oa=73768579&xsp=28"
"X2115","Región Metropolitana, Cerrillos","Accesorios y piezas para vehículos",1000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/capot_chevrolet_dmax_2007_73768578.htm?ca=15_s&oa=73768578&xsp=29"
"X2116","Región Metropolitana, Santiago","Moda y vestuario",5000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/moda-vestuario/jeans_zara_73768574.htm?ca=15_s&oa=73768574&xsp=30"
"X2117","Región Metropolitana, Cerrillos","Accesorios y piezas para vehículos",1000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/mascara_chevrolet_dmax_2007_73768572.htm?ca=15_s&oa=73768572&xsp=31"
"X2118","Región Metropolitana, Puente Alto","Audio, TV, video y fotografía",NA,"Vendo","2020","https://www.yapo.cl/region_metropolitana/television_camaras/controlador_midi_novation_launchkey_25_mk2_73768571.htm?ca=15_s&oa=73768571&xsp=32"
"X2119","Región Metropolitana, La Cisterna","Coches y artículos infantiles",NA,"Vendo","2014","https://www.yapo.cl/region_metropolitana/coches-articulos-infantiles/cositas_para_bebe_73768570.htm?ca=15_s&oa=73768570&xsp=33"
"X2120","Región Metropolitana, La Reina","Electrodomésticos",NA,"Vendo","2018","https://www.yapo.cl/region_metropolitana/electrodomesticos/lavadora_fensa_73768568.htm?ca=15_s&oa=73768568&xsp=34"
"X2121","Región Metropolitana, Cerrillos","Accesorios y piezas para vehículos",NA,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/frontal_chevrolet_dmax_2012_73768565.htm?ca=15_s&oa=73768565&xsp=35"
"X2122","Región Metropolitana, San Ramón","Juguetes",15000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/juguetes/peluche_de_stitch_73768562.htm?ca=15_s&oa=73768562&xsp=36"
"X2123","Región Metropolitana, Maipú","Otros artículos del hogar",30000,"Vendo","2020","https://www.yapo.cl/region_metropolitana/articulos-del-hogar/lavamanos_con_pedestal_y_llave_73768561.htm?ca=15_s&oa=73768561&xsp=37"
"X2124","Región Metropolitana, Recoleta","Audio, TV, video y fotografía",24990,"Vendo","2019","https://www.yapo.cl/region_metropolitana/television_camaras/audifono_jbl_t450_azul___joigo_73768557.htm?ca=15_s&oa=73768557&xsp=38"
"X2125","Región Metropolitana, Santiago","Moda y vestuario",5000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/moda-vestuario/poleron_zara_73768556.htm?ca=15_s&oa=73768556&xsp=39"
"114","Región Metropolitana, Independencia","Arriendo - Departamento",NA,NA,"2015","https://www.yapo.cl/region_metropolitana/arrendar/dpto_en_independencia_73768553.htm?ca=15_s&oa=73768553&xsp=40"
"X2126","Región Metropolitana, Pedro Aguirre Cerda","Consolas, videojuegos y accesorios",NA,"Vendo","2020","https://www.yapo.cl/region_metropolitana/consolas_videojuegos/busco_ps3_73768548.htm?ca=15_s&oa=73768548&xsp=41"
"X2127","Región Metropolitana, Estación Central","Calzado",NA,"Vendo","2016","https://www.yapo.cl/region_metropolitana/calzado/botas__pikolinos__73768546.htm?ca=15_s&oa=73768546&xsp=42"
"X2128","Región Metropolitana, Santiago","Servicios",15000,"Servicios domésticos y alimenticios",NA,"https://www.yapo.cl/region_metropolitana/servicios/lavado_de_alfombras__73768545.htm?ca=15_s&oa=73768545&xsp=43"
"X2129","Región Metropolitana, Santiago","Moda y vestuario",5000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/moda-vestuario/jeans_rajado_73768543.htm?ca=15_s&oa=73768543&xsp=44"
"X2130","Región Metropolitana, Colina","Accesorios y piezas para vehículos",8500,"Vendo","2019","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/valvula_ocv_control_de_aceite_kia_morning_73768540.htm?ca=15_s&oa=73768540&xsp=45"
"X2131","Región Metropolitana, Macul","Vestuario futura mamá y niños",2500,"Vendo","2017","https://www.yapo.cl/region_metropolitana/vestuario-futura-mama-ninos/buzo_2_anos_73768539.htm?ca=15_s&oa=73768539&xsp=46"
"X2132","Región Metropolitana, Quilicura","Consolas, videojuegos y accesorios",220000,"Vendo","2016","https://www.yapo.cl/region_metropolitana/consolas_videojuegos/busco_un_play_4_73768538.htm?ca=15_s&oa=73768538&xsp=47"
"X2133","Región Metropolitana, Cerrillos","Accesorios y piezas para vehículos",1000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/tapabarros_chevrolet_dmax_2012_73768536.htm?ca=15_s&oa=73768536&xsp=48"
"X2134","Región Metropolitana, Colina","Accesorios y piezas para vehículos",9800,"Vendo","2019","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/valvula_iac_kia_morning_73768535.htm?ca=15_s&oa=73768535&xsp=49"
