"","comuna","categoria","precio","tiponegocio","aniousuarioyapo","urlyapo"
"X234","Región Metropolitana, El Bosque","Accesorios y piezas para vehículos",45000,"Vendo","2017","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/parachoque_ssangyong_actyon_envio_regiones_73768530.htm?ca=15_s&oa=73768530&xsp=37"
"X235","Región Metropolitana, Colina","Accesorios y piezas para vehículos",8500,"Vendo","2019","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/valvula_egr_kia_morning_73768523.htm?ca=15_s&oa=73768523&xsp=38"
"X236","Región Metropolitana, Cerrillos","Accesorios y piezas para vehículos",1000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/tapabarros_chevrolet_dmax_2007_73768522.htm?ca=15_s&oa=73768522&xsp=39"
"13","Región Metropolitana, Santiago","Arriendo - Departamento",NA,NA,"2018","https://www.yapo.cl/region_metropolitana/arrendar/depto__1d_1b_metro_bellas_artes_72932121.htm?ca=15_s&oa=72932121&xsp=40"
"X237","Región Metropolitana, Santiago","Vestuario futura mamá y niños",5000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/vestuario-futura-mama-ninos/pantalon_gap_73768521.htm?ca=15_s&oa=73768521&xsp=41"
"X238","Región Metropolitana, Independencia","Otros artículos del hogar",79990,"Vendo","2019","https://www.yapo.cl/region_metropolitana/articulos-del-hogar/set_de_ollas_marron_10_piezas_marca_regina_73768518.htm?ca=15_s&oa=73768518&xsp=42"
"X239","Región Metropolitana, La Cisterna","Computadores y accesorios",30000,"Vendo","2019","https://www.yapo.cl/region_metropolitana/computadores/monitor_tv_lg_flatron_m1717a_73768517.htm?ca=15_s&oa=73768517&xsp=43"
"X240","Región Metropolitana, Padre Hurtado","Bolsos, bisutería y accesorios",40000,"Vendo","2014","https://www.yapo.cl/region_metropolitana/bolsos-bisuteria-accesorios/bolso_rapsodia__73768512.htm?ca=15_s&oa=73768512&xsp=44"
"X241","Región Metropolitana, Santiago","Moda y vestuario",5000,"Vendo","2015","https://www.yapo.cl/region_metropolitana/moda-vestuario/poleron_oneill_73768511.htm?ca=15_s&oa=73768511&xsp=45"
"X242","Región Metropolitana, Santiago","Moda y vestuario",8000,"Vendo","2019","https://www.yapo.cl/region_metropolitana/moda-vestuario/chaquetas_cotele_talla_56_color_beige_73768506.htm?ca=15_s&oa=73768506&xsp=46"
